,Word,valence,arrousal
230,agent,5.23,3.43
231,aggravate,2.55,5.9
232,aggravation,2.48,5.35
233,aggression,3.18,5.69
234,aggressive,3.08,5.87
235,aggressiveness,3.58,6.43
236,aggressor,2.8,6.55
237,agile,5.95,4.95
238,agility,6.55,4.21
239,aging,3,3.8
240,agitate,3.36,5.82
241,agitation,2.84,4.75
242,aglow,5.84,4.83
243,agonizing,2.68,6.71
244,agony,2.46,5.78
245,agree,7.17,3.62
246,agreeable,6.9,3.55
247,agreement,6.75,4.05
248,agricultural,5.5,3.55
249,agriculture,6.1,3.05
250,ahoy,5.58,3.95
251,aid,6.29,4.55
252,aide,5.6,4
253,aids,3.52,3.75
254,AIDS,1.33,5
255,ailing,2.95,4.52
256,ailment,3,3.68
257,aim,5.95,4
258,air,6.71,3.25
259,airbag,5.4,3.64
260,airborne,5.25,3.52
261,aircraft,6.3,4.86
262,aircraft carrier,5.25,4.64
263,airfield,5.74,4.38
264,airhead,4.1,4.3
265,airline,5.36,4.12
266,airliner,6.05,4
267,airlock,4.85,4.23
268,airplane,5.25,5.62
269,airport,6,5.5
270,airship,5.63,4.88
271,airspace,5.5,4.4
272,airspeed,4.95,4.33
273,airstrip,4.76,3.83
274,airtight,5.1,3.3
275,airway,4.95,4
276,aisle,5.17,2.5
277,ajar,5,3.26
278,aka,4.63,3.39
279,alabaster,5.5,3.95
280,alarm,3.86,6.85
281,alarm clock,3.47,5.36
282,alarming,3.52,6.5
283,albatross,5.68,3.09
284,albino,4.9,3.09
285,album,6.19,5.63
286,alcohol,4.11,5.17
287,alcoholic,2.49,5.48
288,alcoholism,2,5
289,alcove,5.5,3.32
290,alderman,4.44,3.05
291,ale,5.95,4.1
292,alert,5.38,5.14
293,alfalfa,4.79,3.67
294,algebra,5.4,4.6
295,algorithm,5.3,3.7
296,alias,5,4.71
297,alibi,4.16,4.5
298,alien,4.45,4.86
299,alienate,2.79,4.27
300,alienation,2.53,5.14
301,alight,5.67,3.86
302,align,5.95,3.32
303,alignment,6,3.92
304,alimony,3.86,3.09
305,alive,6.57,5.93
306,allegation,3.26,5.9
307,alleged,3.62,5.09
308,allegiance,5.8,5.17
309,allegro,5,3.89
310,allergic,3,5.4
311,allergy,2.9,3.9
312,alleviate,6.25,3.45
313,alley,4.17,4.08
314,alleyway,3.46,3.7
315,alliance,6.14,4.4
316,allied,5.95,3.38
317,alligator,4.23,5.36
318,allow,6.39,2.95
319,allowance,6.74,4.05
320,alloy,5.2,3.32
321,allure,6.9,4.25
322,alluring,6.74,4.35
323,ally,6.05,4.8
324,almanac,5.55,3.24
325,almighty,6.15,4.59
326,almond,6.05,2.89
327,aloha,7.1,3.82
328,alone,3.85,4
329,aloof,4.59,3.09
330,alpha,5.5,3.67
331,alphabet,5.95,3.15
332,alphabetical,6.32,3
333,alpine,5.84,3.52
334,altar,5.59,4.05
335,altar boy,4.76,3.11
336,alter,4.57,4.17
337,alteration,5.05,4.05
338,altercation,3.61,5.62
339,alternate,5.15,3.48
340,alternating,5.37,4.27
341,alternative,5.33,3.61
342,altimeter,4.5,3.61
343,altitude,5.27,4.15
344,aluminum,5.1,4.05
345,alumnus,4.95,3.23
346,alzheimers,2.26,4.5
347,amaretto,6,4.04
348,amateur,4.58,3.55
349,amaze,7.24,5
350,amazed,7.55,5.95
351,amazement,7.29,6.3
352,amazing,7.72,6.05
353,ambassador,5.5,3.91
354,amber,6.15,3.36
355,ambience,6.35,3.85
356,ambient,6.33,3.2
357,ambiguous,5.16,4
358,ambition,7.28,4.86
359,ambitious,6.33,5.76
360,ambrosia,5.95,4.05
361,ambulance,3.71,5.33
362,ambush,3.17,5.58
363,amend,5.85,3.06
364,amendment,5.6,3.5
365,amends,6.68,3.95
366,amiable,6.7,2.85
367,amino,4.45,3.83
368,ammo,4.18,5.53
369,ammonia,3.74,3
370,ammonium,4.06,4.37
371,ammunition,4.59,5.7
372,amnesia,3.43,5.04
373,amnesty,5.38,3.86
374,amorous,5.95,4.21
375,amount,5.42,3.53
376,amour,6.43,5.43
377,amp,5.79,5.05
378,amphibian,5.4,3.35
379,amphibious,5.75,5.7
380,ample,5.89,3.28
381,amputate,2.1,5.43
382,amputation,1.84,4.86
383,amuck,4,4.41
384,amulet,5.75,3.95
385,amuse,7.1,5.17
386,amused,7.05,4.27
387,amusement,7,4.82
388,amusing,7.6,5.18
389,anaconda,4.43,6
390,anagram,4.37,3.86
391,anal,4,4.29
392,analogy,5.24,3.95
393,analysis,5.25,3.74
394,analyst,5,3.24
